number,parameter_01,parameter_02(x_coordinate),parameter_03(y_coordinate),parameter_04,parameter_05,parameter_06,parameter_07,parameter_08,parameter_09,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,class(OK/NG)
1.0,D,2518.0,20860.0,1540.0,896.0,14.26,0.0,0.0,4.9518,144.0,78.0,161.06,32.53,0.0564,0.0,0.1371,OK
2.0,L,3880.0,20812.0,1000.0,0.0,0.0,476.0,12.31,1.0495,48.0,50.0,46.37,44.18,0.0,0.0371,0.4167,OK
3.0,L,3516.0,20776.0,1848.0,0.0,0.0,800.0,12.09,1.1316,78.0,88.0,86.0,76.0,0.0,0.0392,0.2692,OK
4.0,L,2988.0,20774.0,2180.0,0.0,0.0,720.0,12.67,1.4286,82.0,56.0,70.71,49.5,0.0,0.041,0.4747,OK
5.0,D,1634.0,20774.0,5652.0,4848.0,23.83,284.0,15.81,14.1811,532.0,214.0,570.8,40.25,0.1066,0.0601,0.0496,OK
6.0,D,10990.0,19178.0,2892.0,1232.0,7.53,0.0,0.0,3.4872,156.0,54.0,155.26,44.52,0.0637,0.0,0.3433,OK
7.0,D,10936.0,19130.0,920.0,340.0,8.15,0.0,0.0,1.3846,44.0,40.0,44.83,32.37,0.066,0.0,0.5227,OK
8.0,L,7846.0,18514.0,1292.0,0.0,0.0,516.0,12.02,2.5,82.0,34.0,80.0,32.0,0.0,0.0371,0.4634,OK
9.0,L,7836.0,18412.0,2396.0,0.0,0.0,820.0,11.83,1.2653,94.0,68.0,85.16,67.31,0.0,0.0363,0.3748,OK
10.0,D,11298.0,18358.0,15268.0,12700.0,20.0,0.0,0.0,3.2235,242.0,162.0,262.79,81.52,0.1488,0.0,0.3895,OK
11.0,D,11632.0,18310.0,1808.0,752.0,9.57,0.0,0.0,2.75,112.0,42.0,110.0,40.0,0.0755,0.0,0.3844,OK
12.0,D,4138.0,17766.0,8436.0,3628.0,15.1,0.0,0.0,1.267,182.0,128.0,168.86,133.28,0.0509,0.0,0.3621,OK
13.0,0.0,3870.0,17728.0,1108.0,0.0,0.0,312.0,11.42,2.7289,66.0,28.0,64.28,23.55,0.0,0.0353,0.5996,OK
14.0,D,3128.0,17618.0,2292.0,608.0,11.49,0.0,0.0,1.9411,96.0,50.0,90.88,46.82,0.043,0.0,0.4775,OK
15.0,D,7100.0,17552.0,4316.0,2416.0,17.83,0.0,0.0,2.5212,162.0,106.0,173.11,68.66,0.0667,0.0,0.2513,OK
16.0,D,6220.0,17066.0,1664.0,1100.0,16.21,0.0,0.0,2.6471,92.0,36.0,90.0,34.0,0.0539,0.0,0.5024,OK
17.0,D,6018.0,17034.0,11032.0,4644.0,14.38,0.0,0.0,1.3077,172.0,132.0,170.0,130.0,0.0472,0.0,0.4859,OK
18.0,D,6292.0,16962.0,5816.0,3052.0,19.35,112.0,14.92,1.8458,174.0,116.0,178.67,96.8,0.0645,0.0446,0.2881,OK
19.0,D,6218.0,16776.0,6964.0,5120.0,22.79,0.0,0.0,3.712,220.0,100.0,230.49,62.09,0.0758,0.0,0.3165,OK
20.0,L,7874.0,14450.0,976.0,0.0,0.0,332.0,14.13,1.0702,46.0,40.0,41.91,39.17,0.0,0.0409,0.5304,OK
21.0,D,11490.0,14248.0,1372.0,1372.0,27.69,0.0,0.0,10.3679,164.0,48.0,167.81,16.19,0.1863,0.0,0.1743,OK
22.0,D,4380.0,13994.0,3532.0,1972.0,17.04,0.0,0.0,2.5432,66.0,120.0,130.29,51.23,0.0555,0.0,0.446,OK
23.0,D,5488.0,13954.0,12532.0,7924.0,20.11,0.0,0.0,2.8805,110.0,256.0,253.65,88.06,0.0656,0.0,0.445,OK
24.0,D,5884.0,13918.0,1452.0,976.0,15.38,0.0,0.0,1.8252,46.0,76.0,74.83,41.0,0.0497,0.0,0.4153,OK
25.0,D,4332.0,13776.0,3512.0,1916.0,16.99,0.0,0.0,1.9324,72.0,116.0,121.5,62.88,0.0556,0.0,0.4205,OK
26.0,D,5780.0,13662.0,1972.0,760.0,13.95,0.0,0.0,2.9292,72.0,102.0,113.12,38.62,0.0452,0.0,0.2685,OK
27.0,D,5742.0,13288.0,2480.0,1136.0,17.58,0.0,0.0,1.7148,58.0,96.0,94.87,55.32,0.0567,0.0,0.4454,OK
28.0,D,5742.0,13036.0,6076.0,3076.0,16.31,0.0,0.0,3.7197,70.0,224.0,225.95,60.74,0.0531,0.0,0.3875,OK
29.0,L,7864.0,12578.0,2656.0,0.0,0.0,880.0,13.35,2.2354,82.0,140.0,147.9,66.17,0.0,0.0436,0.2314,OK
30.0,D,7624.0,9650.0,1360.0,648.0,15.59,0.0,0.0,1.1071,64.0,58.0,62.0,56.0,0.0556,0.0,0.3664,OK
31.0,D,11758.0,6368.0,2948.0,1348.0,12.81,0.0,0.0,3.2315,44.0,128.0,127.9,39.58,0.0761,0.0,0.5234,OK
32.0,D,7764.0,5176.0,3600.0,1932.0,17.2,0.0,0.0,2.907,96.0,128.0,155.04,53.33,0.0614,0.0,0.293,OK
33.0,D,7938.0,5122.0,1436.0,624.0,14.09,0.0,0.0,1.7542,44.0,58.0,63.0,35.91,0.0517,0.0,0.5627,OK
